from_location,to_location,road_class,average_speed_kmh,road_condition,road_priority,historical_delay_min,incident_probability,weather_risk,toll_cost,fuel_cost_per_km,weight_limit_kg,height_limit_m,hazmat_allowed,cold_chain_supported
Kollam,Kottarakkara,SH,45,0.80,0.80,10,0.1,0.2,0,12.5,20000,4.5,true,true
Kottarakkara,Kollam,SH,45,0.80,0.80,10,0.1,0.2,0,12.5,20000,4.5,true,true
Kottarakkara,Adoor,MC,35,0.70,0.60,15,0.15,0.25,0,13.0,18000,4.0,false,false
Adoor,Kottarakkara,MC,35,0.70,0.60,15,0.15,0.25,0,13.0,18000,4.0,false,false
Adoor,Pathanamthitta,SH,40,0.75,0.75,12,0.1,0.3,0,12.8,20000,4.5,true,true
Pathanamthitta,Adoor,SH,40,0.75,0.75,12,0.1,0.3,0,12.8,20000,4.5,true,true
Kollam,Karunagappally,NH,55,0.90,0.95,5,0.05,0.1,10,11.0,35000,5.0,true,true
Karunagappally,Kollam,NH,55,0.90,0.95,5,0.05,0.1,10,11.0,35000,5.0,true,true
Karunagappally,Kayamkulam,NH,55,0.90,0.95,5,0.05,0.1,0,11.0,35000,5.0,true,true
Kayamkulam,Karunagappally,NH,55,0.90,0.95,5,0.05,0.1,0,11.0,35000,5.0,true,true
Kayamkulam,Alappuzha,NH,50,0.85,0.95,15,0.08,0.15,15,11.5,35000,5.0,true,true
Alappuzha,Kayamkulam,NH,50,0.85,0.95,15,0.08,0.15,15,11.5,35000,5.0,true,true
Alappuzha,Kottayam,SH,40,0.75,0.75,20,0.12,0.35,0,12.5,20000,4.5,true,false
Kottayam,Alappuzha,SH,40,0.75,0.75,20,0.12,0.35,0,12.5,20000,4.5,true,false
Kollam,Attingal,NH,55,0.92,0.95,10,0.06,0.1,10,11.0,40000,5.0,true,true
Attingal,Kollam,NH,55,0.92,0.95,10,0.06,0.1,10,11.0,40000,5.0,true,true
Attingal,Kazhakuttam,NH,60,0.95,0.98,5,0.05,0.1,0,10.5,40000,5.5,true,true
Kazhakuttam,Attingal,NH,60,0.95,0.98,5,0.05,0.1,0,10.5,40000,5.5,true,true
Kazhakuttam,Thiruvananthapuram,NH,45,0.88,0.98,25,0.15,0.1,0,12.0,40000,5.5,true,true
Thiruvananthapuram,Kazhakuttam,NH,45,0.88,0.98,25,0.15,0.1,0,12.0,40000,5.5,true,true
Kottarakkara,Punalur,SH,42,0.78,0.75,10,0.1,0.2,0,12.5,20000,4.5,true,false
Punalur,Kottarakkara,SH,42,0.78,0.75,10,0.1,0.2,0,12.5,20000,4.5,true,false
Kottayam,Ernakulam,NH,50,0.85,0.95,25,0.1,0.2,15,11.5,35000,5.0,true,true
Ernakulam,Kottayam,NH,50,0.85,0.95,25,0.1,0.2,15,11.5,35000,5.0,true,true
Thiruvananthapuram,Neyyattinkara,NH,45,0.85,0.95,15,0.1,0.15,0,12.0,35000,5.0,true,true
Neyyattinkara,Thiruvananthapuram,NH,45,0.85,0.95,15,0.1,0.15,0,12.0,35000,5.0,true,true
Kollam,Kundara,LOCAL,30,0.65,0.50,5,0.05,0.1,0,14.0,15000,4.0,false,false
Kundara,Kollam,LOCAL,30,0.65,0.50,5,0.05,0.1,0,14.0,15000,4.0,false,false
Kundara,Kottarakkara,SH,40,0.75,0.70,8,0.08,0.15,0,13.0,20000,4.5,true,false
Kottarakkara,Kundara,SH,40,0.75,0.70,8,0.08,0.15,0,13.0,20000,4.5,true,false
