vehicle_id,registration_no,type,fuel_type,capacity_kg,capacity_m3,height_m,axle_count,refrigerated,hazmat_certified,year_manufactured,last_service_date,odometer_km,insurance_valid_until,depot,status
VEH-001,KL-01-CB-1024,truck,diesel,16000,45.0,3.8,3,false,false,2021,2026-06-12,112400,2027-03-15,Thiruvananthapuram,Active
VEH-002,KL-07-BZ-5412,reefer,diesel,12000,32.0,3.6,3,true,false,2022,2026-07-04,85200,2027-05-20,Kochi,Active
VEH-003,KL-11-AX-9821,hazmat_tanker,diesel,22000,55.0,4.2,4,false,true,2020,2026-05-18,145600,2026-11-10,Kozhikode,Active
VEH-004,KL-08-CD-3311,ev_van,electric,1500,8.5,2.5,2,false,false,2024,2026-07-20,32100,2027-08-14,Thrissur,Active
VEH-005,KL-02-AT-4455,van,cng,2200,11.0,2.6,2,false,false,2023,2026-06-28,54200,2027-04-01,Kollam,Active
VEH-006,KL-09-BC-7890,flatbed,diesel,18000,50.0,4.0,3,false,false,2019,2026-04-10,168900,2026-12-05,Palakkad,Active
VEH-007,KL-04-AV-1122,reefer,diesel,8000,22.0,3.4,2,true,false,2022,2026-07-11,74500,2027-06-18,Alappuzha,Active
VEH-008,KL-13-AW-6677,truck,diesel,25000,62.0,4.5,4,false,false,2021,2026-05-30,128000,2027-01-22,Kannur,Active
VEH-009,KL-05-AY-9988,van,petrol,1800,9.2,2.5,2,false,false,2020,2026-06-05,98400,2026-10-30,Kottayam,Active
VEH-010,KL-10-AZ-3344,hazmat_tanker,diesel,20000,52.0,4.2,4,false,true,2023,2026-07-15,61200,2027-07-09,Malappuram,Active
VEH-011,KL-01-CE-2233,ev_van,electric,1200,6.8,2.4,2,false,false,2025,2026-07-25,26500,2027-09-30,Thiruvananthapuram,Active
VEH-012,KL-07-CA-7788,truck,diesel,14000,40.0,3.6,3,false,false,2022,2026-06-19,79800,2027-04-12,Kochi,Active
VEH-013,KL-11-BB-4499,reefer,diesel,10000,28.0,3.5,3,true,false,2021,2026-05-22,105300,2026-11-28,Kozhikode,Active
VEH-014,KL-08-CE-5566,van,cng,2500,12.0,2.7,2,false,false,2024,2026-07-08,38900,2027-06-05,Thrissur,Active
VEH-015,KL-09-BD-1133,flatbed,diesel,20000,58.0,4.1,4,false,false,2018,2026-03-14,194500,2026-09-15,Palakkad,Active
VEH-016,KL-02-AV-8877,reefer,diesel,6000,18.0,3.2,2,true,false,2023,2026-06-30,49200,2027-05-14,Kollam,Active
VEH-017,KL-04-AW-3322,truck,diesel,15000,42.0,3.7,3,false,false,2020,2026-04-25,134100,2026-12-20,Alappuzha,Active
VEH-018,KL-13-AX-5544,van,petrol,1600,8.0,2.5,2,false,false,2022,2026-07-02,67300,2027-03-29,Kannur,Active
VEH-019,KL-05-AZ-2211,ev_van,electric,1800,9.8,2.6,2,false,false,2024,2026-07-22,31000,2027-08-01,Kottayam,Active
VEH-020,KL-10-BA-8899,hazmat_tanker,diesel,18000,48.0,4.0,3,false,true,2021,2026-05-10,118700,2026-10-18,Malappuram,Active
VEH-021,KL-01-CF-4411,truck,diesel,18000,48.0,3.9,3,false,false,2023,2026-06-15,58400,2027-06-30,Thiruvananthapuram,Active
VEH-022,KL-07-CB-9900,reefer,diesel,15000,38.0,3.7,3,true,false,2025,2026-07-28,28900,2027-10-15,Kochi,Active
VEH-023,KL-11-BC-6633,flatbed,diesel,16000,46.0,3.8,3,false,false,2020,2026-04-05,142000,2026-11-05,Kozhikode,Active
VEH-024,KL-08-CF-7711,van,cng,2000,10.0,2.6,2,false,false,2022,2026-06-20,73100,2027-02-28,Thrissur,Active
VEH-025,KL-09-BE-2244,truck,diesel,22000,56.0,4.3,4,false,false,2019,2026-03-29,176500,2026-08-30,Palakkad,Active
VEH-026,KL-02-AW-5599,ev_van,electric,2000,10.5,2.6,2,false,false,2025,2026-07-18,27400,2027-09-12,Kollam,Active
VEH-027,KL-04-AX-8833,reefer,diesel,9000,25.0,3.4,2,true,false,2021,2026-02-10,121000,2026-09-25,Alappuzha,Maintenance
VEH-028,KL-13-AY-1144,hazmat_tanker,diesel,24000,60.0,4.4,4,false,true,2018,2026-01-20,189200,2026-08-20,Kannur,Maintenance
VEH-029,KL-05-BA-4488,flatbed,diesel,15000,44.0,3.7,3,false,false,2020,2026-02-28,153400,2026-10-01,Kottayam,Maintenance
VEH-030,KL-10-BB-7722,truck,diesel,12000,35.0,3.5,3,false,false,2023,2026-07-01,45000,2027-05-01,Malappuram,Reserved
