location_id,name,type,district,zone
L001,Thiruvananthapuram,City,Thiruvananthapuram,Core
L002,Kazhakkoottam,Town,Thiruvananthapuram,North Corridor
L003,Sreekaryam,Town,Thiruvananthapuram,Core
L004,Pattom,Town,Thiruvananthapuram,Core
L005,Palayam,Town,Thiruvananthapuram,Core
L006,East Fort,Town,Thiruvananthapuram,Core
L007,Neyyattinkara,Town,Thiruvananthapuram,South Corridor
L008,Balaramapuram,Town,Thiruvananthapuram,South Corridor
L009,Parassala,Town,Thiruvananthapuram,Border South
L010,Attingal,Town,Thiruvananthapuram,North Corridor
L011,Varkala,Town,Thiruvananthapuram,North Coastal
L012,Kilimanoor,Town,Thiruvananthapuram,North Inland
L013,Kallambalam,Town,Thiruvananthapuram,North Corridor
L014,Venjaramoodu,Town,Thiruvananthapuram,North Inland
L015,Nedumangad,Town,Thiruvananthapuram,North Inland
L016,Chirayinkeezhu,Town,Thiruvananthapuram,North Coastal
L017,Kollam,City,Kollam,Core
L018,Paravur,Town,Kollam,South Corridor
L019,Chathannoor,Town,Kollam,South Corridor
L020,Kottiyam,Town,Kollam,Core
L021,Kundara,Town,Kollam,Inland
L022,Kottarakkara,Town,Kollam,Inland
L023,Karunagappally,Town,Kollam,North Corridor
L024,Ochira,Town,Kollam,North Corridor
L025,Kayamkulam,Town,Alappuzha,North Corridor
L026,Haripad,Town,Alappuzha,North Corridor
L027,Ambalappuzha,Town,Alappuzha,Core
L028,Alappuzha,City,Alappuzha,Core
L029,Cherthala,Town,Alappuzha,South Corridor
L030,Aroor,Town,Alappuzha,South Corridor
L031,Thakazhy,Town,Alappuzha,Inland
L032,Mavelikara,Town,Alappuzha,Inland
L033,Chengannur,Town,Alappuzha,Inland
L034,Kottayam,City,Kottayam,Core
L035,Changanassery,Town,Kottayam,West Corridor
L036,Ettumanoor,Town,Kottayam,North Corridor
L037,Pala,Town,Kottayam,East Corridor
L038,Kalathipady,Town,Kottayam,Core
L039,Mundakayam,Town,Kottayam,East Corridor
L040,Kanjirappally,Town,Kottayam,East Corridor
L041,Kumarakom,Town,Kottayam,West Corridor
L042,Vaikom,Town,Kottayam,West Corridor
L043,Kaduthuruthy,Town,Kottayam,North Corridor
L044,Thalayolaparambu,Town,Kottayam,North Corridor
L045,Pathanamthitta,City,Pathanamthitta,Core
L046,Adoor,Town,Pathanamthitta,South Corridor
L047,Punalur,Town,Kollam,Inland
L048,Pathanapuram,Town,Kollam,Inland
L049,Anchal,Town,Kollam,Inland
L050,Sasthamkotta,Town,Kollam,Inland
L051,Erattupetta,Town,Kottayam,East Corridor
L052,Mannar,Town,Alappuzha,Inland
L053,Pampady,Town,Kottayam,Core
L054,Kuravilangad,Town,Kottayam,East Corridor
L055,Kochi,City,Ernakulam,Core Gateway
