from,to,via,extra_distance_km,route_type,remarks
Thiruvananthapuram,Pattom,City Road Bypass,2.6,Bypass Alternate,Real-time bypass around Thiruvananthapuram center congestion
Pattom,Sreekaryam,Medical College Road Bypass,2.8,Bypass Alternate,Real-time bypass around Pattom center congestion
Sreekaryam,Kazhakkoottam,NH66 Bypass,3.2,Bypass Alternate,Real-time bypass around Sreekaryam center congestion
Thiruvananthapuram,East Fort,MG Road Bypass,2.5,Bypass Alternate,Real-time bypass around Thiruvananthapuram center congestion
East Fort,Balaramapuram,NH66 Bypass,4.2,Bypass Alternate,Real-time bypass around East Fort center congestion
Balaramapuram,Neyyattinkara,NH66 Bypass,3.5,Bypass Alternate,Real-time bypass around Balaramapuram center congestion
Neyyattinkara,Parassala,NH66 Bypass,4.5,Bypass Alternate,Real-time bypass around Neyyattinkara center congestion
Kazhakkoottam,Attingal,NH66 Bypass,5.3,Bypass Alternate,Real-time bypass around Kazhakkoottam center congestion
Attingal,Kallambalam,NH66 Bypass,3.5,Bypass Alternate,Real-time bypass around Attingal center congestion
Kallambalam,Varkala,NH66 Bypass,4.4,Bypass Alternate,Real-time bypass around Kallambalam center congestion
Varkala,Paravur,NH66 Bypass,4.1,Bypass Alternate,Real-time bypass around Varkala center congestion
Paravur,Chathannoor,NH66 Bypass,3.8,Bypass Alternate,Real-time bypass around Paravur center congestion
Chathannoor,Kollam,NH66 Bypass,4.4,Bypass Alternate,Real-time bypass around Chathannoor center congestion
Kollam,Kottiyam,NH66 Bypass,3.2,Bypass Alternate,Real-time bypass around Kollam center congestion
Kottiyam,Karunagappally,NH66 Bypass,6.2,Bypass Alternate,Real-time bypass around Kottiyam center congestion
Karunagappally,Ochira,NH66 Bypass,3.5,Bypass Alternate,Real-time bypass around Karunagappally center congestion
Ochira,Kayamkulam,NH66 Bypass,3.2,Bypass Alternate,Real-time bypass around Ochira center congestion
Kayamkulam,Haripad,NH66 Bypass,4.1,Bypass Alternate,Real-time bypass around Kayamkulam center congestion
Haripad,Ambalappuzha,NH66 Bypass,4.4,Bypass Alternate,Real-time bypass around Haripad center congestion
Ambalappuzha,Alappuzha,NH66 Bypass,3.2,Bypass Alternate,Real-time bypass around Ambalappuzha center congestion
Alappuzha,Cherthala,NH66 Bypass,5.3,Bypass Alternate,Real-time bypass around Alappuzha center congestion
Cherthala,Aroor,NH66 Bypass,4.5,Bypass Alternate,Real-time bypass around Cherthala center congestion
Aroor,Kochi,NH66 Bypass,3.8,Bypass Alternate,Real-time bypass around Aroor center congestion
Kayamkulam,Mavelikara,MC Road Bypass,3.8,Bypass Alternate,Real-time bypass around Kayamkulam center congestion
Mavelikara,Chengannur,MC Road Bypass,3.8,Bypass Alternate,Real-time bypass around Mavelikara center congestion
