distance_km,traffic_ratio,weather_severity,vehicle_load,driver_fatigue,historical_delay,hub_congestion,product_type,priority,road_quality,temperature_celsius,precipitation_mm,wind_speed_kmh,is_peak_hour,active_incidents,vehicle_type_risk,actual_delay_minutes
175.59,2.64,0.31,0.8,0.38,1.87,0.25,perishable,standard,0.8,25.3,22.1,15.8,0,0,1.2,52.92
134.43,1.32,0.38,0.34,0.09,2.48,7.24,general,critical,0.79,25.3,26.9,16.4,1,0,1.0,21.29
187.78,1.34,0.3,0.58,0.28,6.51,1.7,medicine,standard,0.71,32.4,15.8,14.1,0,0,1.2,16.26
86.54,2.42,0.25,0.47,0.09,4.09,2.4,general,high,0.83,28.5,14.7,10.9,0,1,1.0,19.05
269.98,2.24,0.3,0.51,0.72,2.02,2.19,general,standard,0.74,23.8,15.6,12.6,1,0,1.0,41.67
64.61,2.55,0.32,0.19,0.16,2.65,0.73,general,high,0.84,24.2,24.7,12.1,1,1,1.0,18.0
230.45,1.78,0.5,0.61,0.34,11.21,5.85,medicine,standard,0.72,31.2,27.5,19.4,1,0,1.2,48.89
98.36,1.29,0.19,0.67,0.18,3.66,3.7,general,critical,0.83,32.2,13.6,7.7,0,0,1.0,7.58
112.59,1.47,0.27,0.14,0.53,10.81,1.69,perishable,low,0.86,25.2,21.5,15.5,0,1,1.2,16.1
198.88,1.16,0.79,0.22,0.62,4.46,0.14,hazmat,high,0.86,26.3,47.9,46.3,0,0,1.4,22.71
255.0,2.29,0.4,0.16,0.1,3.94,0.09,perishable,standard,0.68,27.0,22.6,14.4,0,0,1.2,57.88
51.95,1.62,0.29,0.28,0.13,17.31,1.13,general,high,0.76,26.2,17.5,12.5,1,1,1.0,16.06
173.22,1.98,0.49,0.16,0.51,0.42,0.7,perishable,standard,0.77,29.6,35.2,25.0,1,2,1.2,44.57
145.89,2.19,0.57,0.47,0.24,2.92,4.7,general,critical,0.65,28.2,32.9,27.5,1,1,1.0,41.67
71.29,1.91,0.76,0.33,0.6,0.62,2.39,general,standard,0.78,30.7,60.5,36.4,0,2,1.0,19.0
178.94,1.26,0.4,0.77,0.15,7.1,1.73,general,high,0.73,28.3,29.1,21.8,0,1,1.0,10.26
73.29,1.47,0.52,0.94,0.4,4.46,1.06,furniture,standard,0.84,33.9,31.1,23.6,1,0,1.0,27.88
153.16,1.07,0.04,0.57,0.37,2.34,8.19,hazmat,low,0.83,30.8,3.0,1.6,0,0,1.4,4.73
97.31,1.11,0.19,0.42,0.05,2.51,0.62,furniture,low,0.87,30.0,10.7,10.0,1,0,1.0,6.25
115.66,1.6,0.18,0.6,0.18,0.77,3.03,luxury,high,0.83,29.6,10.1,6.7,0,1,1.0,16.15
124.75,1.87,0.08,0.23,0.26,1.54,4.12,general,standard,0.73,31.2,6.2,3.9,0,1,1.0,19.71
196.52,2.51,0.6,0.83,0.33,7.3,2.72,perishable,high,0.75,29.4,43.5,21.8,1,0,1.2,63.91
77.2,1.81,0.69,0.59,0.19,8.65,11.16,luxury,low,0.9,29.8,48.1,26.9,0,1,1.0,24.32
159.08,1.99,0.4,0.12,0.56,9.21,7.43,furniture,low,0.88,26.2,21.3,18.3,1,0,1.0,19.77
107.85,1.14,0.64,0.55,0.51,0.28,5.55,general,standard,0.95,31.3,45.4,27.8,1,0,1.0,21.58
108.43,2.21,0.44,0.66,0.43,1.04,4.19,perishable,low,0.58,36.6,31.1,16.7,0,0,1.2,36.47
175.05,1.56,0.42,0.23,0.46,2.74,0.84,perishable,standard,0.89,29.9,26.6,14.9,0,1,1.2,24.17
102.12,1.86,0.71,0.45,0.29,2.95,4.5,furniture,critical,0.82,33.0,37.2,34.7,0,2,1.0,21.55
107.41,2.37,0.1,0.35,0.31,1.57,3.35,medicine,standard,0.94,30.2,7.3,4.1,0,1,1.2,20.68
143.06,1.79,0.46,0.54,0.09,19.98,10.63,medicine,standard,0.79,31.6,26.6,20.5,0,0,1.2,34.13
64.65,1.58,0.59,0.53,0.33,12.95,1.63,luxury,critical,0.92,33.4,30.2,30.6,0,1,1.0,15.78
109.37,2.08,0.07,0.89,0.17,0.46,1.17,general,high,0.94,30.7,3.8,3.8,0,1,1.0,20.25
157.67,2.09,0.04,0.9,0.49,6.14,8.26,furniture,critical,0.62,32.2,2.5,1.9,1,0,1.0,21.5
31.03,1.25,0.26,0.35,0.12,1.2,1.7,luxury,high,0.62,32.8,19.3,15.4,0,1,1.0,8.69
60.78,1.72,0.56,0.77,0.46,17.34,5.6,general,standard,0.81,31.6,37.3,27.0,0,0,1.0,18.58
111.81,1.74,0.13,0.22,0.48,5.71,2.06,hazmat,standard,0.86,33.6,6.5,6.7,0,0,1.4,15.0
166.93,2.15,0.32,0.43,0.36,0.37,1.42,general,high,0.83,29.9,16.5,11.5,0,0,1.0,30.91
285.43,1.64,0.19,0.43,0.35,0.2,2.44,perishable,low,0.67,29.3,10.7,7.2,0,0,1.2,40.36
98.63,1.44,0.4,0.86,0.61,1.93,3.65,medicine,standard,0.91,26.7,30.1,22.1,1,0,1.2,29.93
44.49,1.64,0.63,0.17,0.39,4.04,0.31,medicine,high,0.83,30.3,31.7,29.2,0,1,1.2,14.35
42.38,1.26,0.46,0.56,0.21,3.98,1.78,general,high,0.7,26.6,22.6,27.0,1,0,1.0,4.55
101.64,1.06,0.31,0.49,0.3,3.8,2.02,furniture,low,0.69,31.6,23.6,12.5,0,1,1.0,5.98
255.17,1.77,0.07,0.64,0.08,7.07,3.7,perishable,critical,0.88,27.3,5.4,3.3,0,1,1.2,23.68
39.74,1.56,0.4,0.88,0.45,8.07,10.14,hazmat,low,0.78,35.0,25.3,24.0,1,0,1.4,36.94
118.0,1.72,0.29,0.16,0.48,1.18,7.66,hazmat,standard,0.62,34.9,22.3,14.3,1,0,1.4,32.4
154.58,1.91,0.68,0.98,0.52,0.26,4.02,medicine,low,0.72,31.2,38.5,28.4,0,1,1.2,38.22
85.59,1.87,0.52,0.69,0.58,0.39,2.59,furniture,standard,0.78,32.9,28.7,22.5,0,1,1.0,17.11
196.54,2.3,0.22,0.79,0.32,9.31,0.35,general,standard,0.94,26.7,13.5,12.1,1,1,1.0,41.93
214.25,1.62,0.37,0.46,0.32,4.03,3.3,hazmat,standard,0.8,29.5,23.7,14.7,0,0,1.4,30.48
54.5,2.51,0.42,0.95,0.49,2.37,1.21,perishable,high,0.92,29.2,24.0,23.2,0,1,1.2,25.76
173.51,2.11,0.12,0.4,0.28,6.57,2.18,luxury,high,0.84,31.9,7.5,4.5,1,0,1.0,20.24
163.29,1.55,0.13,0.8,0.39,9.82,5.61,general,standard,0.66,31.6,8.9,4.8,0,0,1.0,19.33
117.02,1.98,0.19,0.84,0.3,5.64,0.14,luxury,high,0.83,32.2,11.4,9.2,1,0,1.0,14.91
82.47,1.39,0.39,0.72,0.5,0.26,10.13,furniture,standard,0.7,26.2,28.1,21.9,0,0,1.0,13.65
224.28,2.02,0.23,0.78,0.21,11.88,6.45,perishable,low,0.92,33.8,12.5,12.7,0,0,1.2,48.32
57.27,1.48,0.7,0.23,0.05,2.91,1.39,general,high,0.74,26.4,37.2,34.1,0,1,1.0,16.12
94.01,1.94,0.06,0.2,0.34,2.99,3.15,perishable,high,0.6,27.1,4.6,3.1,1,0,1.2,20.97
170.67,2.28,0.2,0.6,0.14,10.86,0.4,hazmat,high,0.7,33.1,14.8,11.7,1,1,1.4,49.24
168.85,2.0,0.18,0.41,0.42,8.62,0.34,hazmat,critical,0.92,28.7,11.8,6.4,1,1,1.4,34.66
225.5,1.88,0.21,0.87,0.37,9.28,0.15,furniture,high,0.89,23.7,16.6,9.1,0,0,1.0,24.87
76.6,2.12,0.37,0.3,0.07,0.25,9.26,general,critical,0.93,26.8,29.2,20.3,0,1,1.0,19.48
209.2,1.93,0.68,0.7,0.18,3.41,0.26,general,high,0.73,30.1,45.5,25.9,0,1,1.0,36.28
